,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-5198,HL60,3.644734
5,AGK2,HL60,2.904736
6,AMG-319,HL60,3.808546
7,AT13148,HL60,3.379137
8,AZ6102,HL60,2.479558
9,AZ960,HL60,0.054884
10,AZD1208,HL60,4.885844
11,AZD1332,HL60,4.895281
12,AZD3759,HL60,2.156169
13,AZD4547,HL60,3.137978
14,AZD5153,HL60,-0.760805
15,AZD5363,HL60,1.933375
16,AZD5438,HL60,1.929562
17,AZD5582,HL60,1.523764
18,AZD5991,HL60,-2.292906
19,AZD6738,HL60,2.042793
20,AZD7762,HL60,0.296543
21,AZD8055,HL60,1.456973
22,AZD8186,HL60,1.816854
23,Afatinib,HL60,1.518567
24,Afuresertib,HL60,3.057738
25,Alisertib,HL60,-1.114913
26,Alpelisib,HL60,2.21634
27,Avagacestat,HL60,3.321006
28,Axitinib,HL60,1.346913
29,BIBR-1532,HL60,3.967546
30,BMS-345541,HL60,4.133874
31,BMS-536924,HL60,-0.15958
32,BMS-754807,HL60,-0.497059
33,Bleomycin,HL60,2.846334
34,Bleomycin (50 uM),HL60,3.346662
35,Bortezomib,HL60,-5.511162
36,Bromosporine,HL60,0.197511
37,Buparlisib,HL60,0.361896
38,CCT007093,HL60,4.802852
39,CPI-637,HL60,3.339946
40,CZC24832,HL60,4.656184
41,Camptothecin,HL60,-4.472606
42,Carmustine,HL60,5.767251
43,Cisplatin,HL60,1.387772
44,Crizotinib,HL60,2.02268
45,Cyclophosphamide,HL60,2.452611
46,Cytarabine,HL60,0.250847
47,Dabrafenib,HL60,4.896857
48,Dacarbazine,HL60,5.007591
49,Dactinomycin,HL60,-3.828022
50,Dactolisib,HL60,-1.099591
51,Dasatinib,HL60,2.184483
52,Dihydrorotenone,HL60,-3.980924
53,Dinaciclib,HL60,-3.863254
54,Docetaxel,HL60,-5.308438
55,Doramapimod,HL60,4.815009
56,EHT-1864,HL60,2.148829
57,EPZ004777,HL60,4.743614
58,EPZ5676,HL60,4.468414
59,Elephantin,HL60,2.441787
60,Entinostat,HL60,0.657198
61,Entospletinib,HL60,4.430713
62,Epirubicin,HL60,-2.725109
63,Erlotinib,HL60,3.516011
64,Fludarabine,HL60,1.615393
65,Foretinib,HL60,0.507843
66,Fulvestrant,HL60,3.329908
67,GDC0810,HL60,1.950125
68,GNE-317,HL60,-0.282199
69,GSK-LSD1,HL60,0.670554
70,GSK1904529A,HL60,4.988584
71,GSK2110183B,HL60,3.692014
72,GSK2578215A,HL60,2.065239
73,GSK2606414,HL60,2.656222
74,GSK2801,HL60,4.181437
75,GSK2830371,HL60,3.332171
76,GSK343,HL60,2.845398
77,GSK591,HL60,4.336599
78,Gallibiscoquinazole,HL60,1.713327
79,Gefitinib,HL60,3.269647
80,Gemcitabine,HL60,-3.005111
81,I-BET-762,HL60,0.75756
82,I-BRD9,HL60,2.824221
83,ICL-SIRT078,HL60,3.229446
84,IWP-2,HL60,1.86372
85,Ibrutinib,HL60,3.251737
86,Ipatasertib,HL60,2.421669
87,Irinotecan,HL60,0.505657
88,JNK Inhibitor VIII,HL60,4.787407
89,JQ1,HL60,-1.774252
90,KU-55933,HL60,4.233836
91,L-Oxonoreleagnine,HL60,3.071544
92,LCL161,HL60,3.909526
93,LGK974,HL60,2.274807
94,LJI308,HL60,4.338849
95,LMP744,HL60,-1.699738
96,LY2109761,HL60,4.893069
97,Leflunomide,HL60,4.850157
98,Lenalidomide,HL60,3.177559
99,Lestaurtinib,HL60,-1.224208
100,Linsitinib,HL60,2.296419
101,Luminespib,HL60,-3.321522
102,MG-132,HL60,-1.14181
103,MIM1,HL60,4.384764
104,MIRA-1,HL60,4.251009
105,MK-1775,HL60,0.537033
106,MK-2206,HL60,3.567611
107,MK-8776,HL60,3.474365
108,MN-64,HL60,2.037886
109,Methotrexate,HL60,-3.429267
110,Mirin,HL60,4.734348
111,Mitoxantrone,HL60,-1.648092
112,Motesanib,HL60,3.398147
113,Mycophenolic acid,HL60,0.872644
114,N-acetyl cysteine,HL60,9.943743
115,NU7441,HL60,0.40654
116,Navitoclax,HL60,-1.246696
117,Nelarabine,HL60,5.274322
118,Nilotinib,HL60,2.067855
119,Niraparib,HL60,4.647715
