,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,ABT737,HL60,-2.817798
3,AGI-5198,HL60,3.644734
4,AGI-6780,HL60,3.037778
5,AGK2,HL60,2.904736
6,AMG-319,HL60,3.808546
7,AT13148,HL60,3.379137
8,AZ6102,HL60,2.479558
9,AZ960,HL60,0.054884
10,AZD1208,HL60,4.885844
11,AZD1332,HL60,4.895281
12,AZD2014,HL60,3.617651
13,AZD3759,HL60,2.156169
14,AZD4547,HL60,3.137978
15,AZD5363,HL60,1.933375
16,AZD5438,HL60,1.929562
17,AZD5582,HL60,1.523764
18,AZD5991,HL60,-2.292906
19,AZD6738,HL60,2.042793
20,AZD7762,HL60,0.296543
21,AZD8055,HL60,1.456973
22,AZD8186,HL60,1.816854
23,Acetalax,HL60,5.255601
24,Afatinib,HL60,1.518567
25,Afuresertib,HL60,3.057738
26,Alisertib,HL60,-1.114913
27,Alpelisib,HL60,2.21634
28,Avagacestat,HL60,3.321006
29,Axitinib,HL60,1.346913
30,BI-2536,HL60,-3.860741
31,BIBR-1532,HL60,3.967546
32,BMS-345541,HL60,4.133874
33,BMS-536924,HL60,-0.15958
34,BMS-754807,HL60,-0.497059
35,Bleomycin,HL60,2.846334
36,Bleomycin (50 uM),HL60,3.346662
37,Bortezomib,HL60,-5.511162
38,Bosutinib,HL60,1.746057
39,Bromosporine,HL60,0.197511
40,Buparlisib,HL60,0.361896
41,CCT007093,HL60,4.802852
42,CPI-637,HL60,3.339946
43,Camptothecin,HL60,-4.472606
44,Carmustine,HL60,5.767251
45,Cediranib,HL60,1.939612
46,Cisplatin,HL60,1.387772
47,Crizotinib,HL60,2.02268
48,Cyclophosphamide,HL60,2.452611
49,Dabrafenib,HL60,4.896857
50,Dacarbazine,HL60,5.007591
51,Dactinomycin,HL60,-3.828022
52,Dasatinib,HL60,2.184483
53,Dihydrorotenone,HL60,-3.980924
54,Dinaciclib,HL60,-3.863254
55,Docetaxel,HL60,-5.308438
56,Doramapimod,HL60,4.815009
57,EHT-1864,HL60,2.148829
58,EPZ004777,HL60,4.743614
59,Elephantin,HL60,2.441787
60,Entinostat,HL60,0.657198
61,Entospletinib,HL60,4.430713
62,Epirubicin,HL60,-2.725109
63,Erlotinib,HL60,3.516011
64,Fludarabine,HL60,1.615393
65,Fulvestrant,HL60,3.329908
66,GDC0810,HL60,1.950125
67,GNE-317,HL60,-0.282199
68,GSK-LSD1,HL60,0.670554
69,GSK1904529A,HL60,4.988584
70,GSK2110183B,HL60,3.692014
71,GSK2606414,HL60,2.656222
72,GSK2801,HL60,4.181437
73,GSK2830371,HL60,3.332171
74,GSK343,HL60,2.845398
75,GSK591,HL60,4.336599
76,GW441756,HL60,2.912734
77,Gallibiscoquinazole,HL60,1.713327
78,Gefitinib,HL60,3.269647
79,Gemcitabine,HL60,-3.005111
80,I-BET-762,HL60,0.75756
81,I-BRD9,HL60,2.824221
82,ICL-SIRT078,HL60,3.229446
83,IWP-2,HL60,1.86372
84,Ibrutinib,HL60,3.251737
85,Irinotecan,HL60,0.505657
86,JNK Inhibitor VIII,HL60,4.787407
87,KRAS (G12C) Inhibitor-12,HL60,5.559532
88,KU-55933,HL60,4.233836
89,L-Oxonoreleagnine,HL60,3.071544
90,LCL161,HL60,3.909526
91,LJI308,HL60,4.338849
92,LMP744,HL60,-1.699738
93,Lapatinib,HL60,3.124205
94,Leflunomide,HL60,4.850157
95,Lestaurtinib,HL60,-1.224208
96,Luminespib,HL60,-3.321522
97,MG-132,HL60,-1.14181
98,MIM1,HL60,4.384764
99,MIRA-1,HL60,4.251009
100,MK-1775,HL60,0.537033
101,MK-2206,HL60,3.567611
102,MK-8776,HL60,3.474365
103,ML323,HL60,3.795059
104,Mirin,HL60,4.734348
105,Motesanib,HL60,3.398147
106,Mycophenolic acid,HL60,0.872644
107,NU7441,HL60,0.40654
108,NVP-ADW742,HL60,0.25705
109,Nelarabine,HL60,5.274322
110,Nilotinib,HL60,2.067855
111,Niraparib,HL60,4.647715
112,Nutlin-3a (-),HL60,3.685447
113,OF-1,HL60,0.928478
114,OSI-027,HL60,3.820561
115,OTX015,HL60,-0.554517
116,Obatoclax Mesylate,HL60,0.645424
117,Olaparib,HL60,3.475814
118,Osimertinib,HL60,1.05863
