,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,A-366,HL60,4.83616
2,AGI-5198,HL60,3.644734
3,AGI-6780,HL60,3.037778
4,AGK2,HL60,2.904736
5,AMG-319,HL60,3.808546
6,AT13148,HL60,3.379137
7,AZ6102,HL60,2.479558
8,AZ960,HL60,0.054884
9,AZD1208,HL60,4.885844
10,AZD1332,HL60,4.895281
11,AZD2014,HL60,3.617651
12,AZD3759,HL60,2.156169
13,AZD5153,HL60,-0.760805
14,AZD5363,HL60,1.933375
15,AZD5438,HL60,1.929562
16,AZD5582,HL60,1.523764
17,AZD5991,HL60,-2.292906
18,AZD6738,HL60,2.042793
19,AZD8055,HL60,1.456973
20,AZD8186,HL60,1.816854
21,Acetalax,HL60,5.255601
22,Afatinib,HL60,1.518567
23,Afuresertib,HL60,3.057738
24,Alisertib,HL60,-1.114913
25,Alpelisib,HL60,2.21634
26,Avagacestat,HL60,3.321006
27,Axitinib,HL60,1.346913
28,BI-2536,HL60,-3.860741
29,BMS-345541,HL60,4.133874
30,BMS-536924,HL60,-0.15958
31,BMS-754807,HL60,-0.497059
32,Bleomycin,HL60,2.846334
33,Bortezomib,HL60,-5.511162
34,Bosutinib,HL60,1.746057
35,Bromosporine,HL60,0.197511
36,Buparlisib,HL60,0.361896
37,CCT007093,HL60,4.802852
38,CPI-637,HL60,3.339946
39,CZC24832,HL60,4.656184
40,Camptothecin,HL60,-4.472606
41,Cediranib,HL60,1.939612
42,Crizotinib,HL60,2.02268
43,Cyclophosphamide,HL60,2.452611
44,Cytarabine,HL60,0.250847
45,Dabrafenib,HL60,4.896857
46,Dacarbazine,HL60,5.007591
47,Dactinomycin,HL60,-3.828022
48,Dactolisib,HL60,-1.099591
49,Dasatinib,HL60,2.184483
50,Dihydrorotenone,HL60,-3.980924
51,Dinaciclib,HL60,-3.863254
52,Docetaxel,HL60,-5.308438
53,Doramapimod,HL60,4.815009
54,EHT-1864,HL60,2.148829
55,EPZ004777,HL60,4.743614
56,EPZ5676,HL60,4.468414
57,Elephantin,HL60,2.441787
58,Entinostat,HL60,0.657198
59,Entospletinib,HL60,4.430713
60,Epirubicin,HL60,-2.725109
61,Erlotinib,HL60,3.516011
62,Fludarabine,HL60,1.615393
63,Foretinib,HL60,0.507843
64,Fulvestrant,HL60,3.329908
65,GDC0810,HL60,1.950125
66,GNE-317,HL60,-0.282199
67,GSK-LSD1,HL60,0.670554
68,GSK1904529A,HL60,4.988584
69,GSK2110183B,HL60,3.692014
70,GSK2578215A,HL60,2.065239
71,GSK2606414,HL60,2.656222
72,GSK2801,HL60,4.181437
73,GSK343,HL60,2.845398
74,GSK591,HL60,4.336599
75,GW441756,HL60,2.912734
76,Gallibiscoquinazole,HL60,1.713327
77,Gefitinib,HL60,3.269647
78,Gemcitabine,HL60,-3.005111
79,I-BET-762,HL60,0.75756
80,I-BRD9,HL60,2.824221
81,ICL-SIRT078,HL60,3.229446
82,IWP-2,HL60,1.86372
83,Ipatasertib,HL60,2.421669
84,Irinotecan,HL60,0.505657
85,JNK Inhibitor VIII,HL60,4.787407
86,JQ1,HL60,-1.774252
87,KRAS (G12C) Inhibitor-12,HL60,5.559532
88,KU-55933,HL60,4.233836
89,L-Oxonoreleagnine,HL60,3.071544
90,LCL161,HL60,3.909526
91,LGK974,HL60,2.274807
92,LMP744,HL60,-1.699738
93,LY2109761,HL60,4.893069
94,Lapatinib,HL60,3.124205
95,Leflunomide,HL60,4.850157
96,Lenalidomide,HL60,3.177559
97,Lestaurtinib,HL60,-1.224208
98,Linsitinib,HL60,2.296419
99,Luminespib,HL60,-3.321522
100,MG-132,HL60,-1.14181
101,MIM1,HL60,4.384764
102,MIRA-1,HL60,4.251009
103,MK-1775,HL60,0.537033
104,MK-8776,HL60,3.474365
105,ML323,HL60,3.795059
106,MN-64,HL60,2.037886
107,Methotrexate,HL60,-3.429267
108,Mirin,HL60,4.734348
109,Mitoxantrone,HL60,-1.648092
110,Mycophenolic acid,HL60,0.872644
111,N-acetyl cysteine,HL60,9.943743
112,NU7441,HL60,0.40654
113,NVP-ADW742,HL60,0.25705
114,Navitoclax,HL60,-1.246696
115,Nelarabine,HL60,5.274322
116,Nilotinib,HL60,2.067855
117,Niraparib,HL60,4.647715
118,Nutlin-3a (-),HL60,3.685447
119,OF-1,HL60,0.928478
120,OSI-027,HL60,3.820561
121,OTX015,HL60,-0.554517
122,Obatoclax Mesylate,HL60,0.645424
123,Olaparib,HL60,3.475814
124,Osimertinib,HL60,1.05863
125,Oxaliplatin,HL60,2.398582
126,P22077,HL60,1.495135
127,PCI-34051,HL60,4.391048
128,PD0325901,HL60,-3.501066
129,PD173074,HL60,4.208856
130,PFI-1,HL60,2.459947
131,PLX-4720,HL60,3.794436
132,POMHEX,HL60,1.407742
133,PRT062607,HL60,2.149309
134,Paclitaxel,HL60,-4.906881
135,Palbociclib,HL60,2.306101
136,Pevonedistat,HL60,-1.459439
137,Picolinici-acid,HL60,4.740492
138,Pictilisib,HL60,1.262272
139,Podophyllotoxin bromide,HL60,-1.674663
140,Pyridostatin,HL60,4.298902
141,RO-3306,HL60,4.847768
142,RVX-208,HL60,3.35364
143,Rapamycin,HL60,-1.398099
144,Refametinib,HL60,-1.167613
145,Remodelin,HL60,3.243689
146,Ribociclib,HL60,3.433514
147,Romidepsin,HL60,-6.094023
148,Rucaparib,HL60,3.78804
149,Ruxolitinib,HL60,3.372182
150,SB216763,HL60,3.882611
151,SB590885,HL60,3.906465
152,SCH772984,HL60,0.146872
153,SGC-CBP30,HL60,3.667655
154,SGC0946,HL60,1.874233
155,SN-38,HL60,-5.868396
156,Sabutoclax,HL60,0.814406
157,Sapitinib,HL60,3.307865
158,Savolitinib,HL60,1.442681
159,Schweinfurthin A,HL60,-1.71815
160,Selumetinib,HL60,0.441364
161,Serdemetan,HL60,3.580526
162,Sinularin,HL60,3.352685
163,Sorafenib,HL60,0.645929
164,Staurosporine,HL60,-2.354547
165,Talazoparib,HL60,0.970772
166,Tamoxifen,HL60,2.773471
167,Tanespimycin,HL60,-0.02127
168,Taselisib,HL60,1.075933
169,Telomerase Inhibitor IX,HL60,-0.174372
170,Temozolomide,HL60,5.287843
171,Temsirolimus,HL60,0.734264
172,Teniposide,HL60,-1.596655
173,Trametinib,HL60,-3.320319
174,UMI-77,HL60,1.435243
175,UNC0379,HL60,4.588174
176,UNC0638,HL60,2.025077
177,Ulixertinib,HL60,1.306203
178,Uprosertib,HL60,3.358422
179,VE-822,HL60,3.054477
180,VE821,HL60,4.8754
181,VX-11e,HL60,2.050311
182,Veliparib,HL60,4.110177
183,Venetoclax,HL60,-4.488296
184,Vinblastine,HL60,-6.310347
185,Vincristine,HL60,-4.649077
186,Vinorelbine,HL60,-4.581106
187,Vismodegib,HL60,3.578583
188,Vorinostat,HL60,0.205701
189,WEHI-539,HL60,3.762251
190,WIKI4,HL60,2.307919
191,WZ4003,HL60,3.666695
192,Wee1 Inhibitor,HL60,0.84796
193,Wnt-C59,HL60,3.23988
194,YK-4-279,HL60,0.316688
195,alpha-lipoic acid,HL60,5.007582
196,glutathione,HL60,8.188005
197,5-Fluorouracil,HEL,2.462663
198,AGI-5198,HEL,4.37324
199,AGI-6780,HEL,3.053522
200,AGK2,HEL,3.435404
201,AMG-319,HEL,4.372633
202,AT13148,HEL,2.924252
203,AZ6102,HEL,1.741545
204,AZ960,HEL,-0.45043
205,AZD1208,HEL,3.969908
206,AZD1332,HEL,3.827417
207,AZD2014,HEL,1.990833
208,AZD3759,HEL,1.690591
209,AZD5153,HEL,-1.579341
210,AZD5363,HEL,4.258594
211,AZD5438,HEL,1.373512
212,AZD5582,HEL,4.464754
213,AZD5991,HEL,4.373228
214,AZD6482,HEL,3.83721
215,AZD6738,HEL,-0.401548
216,AZD8186,HEL,4.372257
217,Acetalax,HEL,5.229914
218,Afatinib,HEL,1.830878
219,Afuresertib,HEL,2.702003
220,Alisertib,HEL,2.270216
221,Alpelisib,HEL,3.426936
222,Avagacestat,HEL,4.044609
223,Axitinib,HEL,2.380458
224,BI-2536,HEL,-2.490341
225,BMS-345541,HEL,1.703818
226,BMS-536924,HEL,1.081879
227,BMS-754807,HEL,2.841303
228,BX795,HEL,2.011093
229,Bicalutamide,HEL,4.373083
230,Bleomycin,HEL,2.162377
231,Bortezomib,HEL,-5.526198
232,Bosutinib,HEL,1.223188
233,Bromosporine,HEL,1.232807
234,Buparlisib,HEL,1.076224
235,CCT-018159,HEL,2.639738
236,CCT007093,HEL,3.671145
237,CHIR-99021,HEL,1.043535
238,CZC24832,HEL,4.457007
239,Camptothecin,HEL,-3.978419
240,Cediranib,HEL,1.947726
241,Crizotinib,HEL,1.63062
242,Cyclophosphamide,HEL,4.371572
243,Dabrafenib,HEL,3.765882
244,Dacarbazine,HEL,4.485565
245,Dactinomycin,HEL,-4.093321
246,Dactolisib,HEL,-2.54546
247,Daporinad,HEL,-5.692192
248,Dasatinib,HEL,2.165652
249,Dihydrorotenone,HEL,2.003986
250,Dinaciclib,HEL,-3.721416
251,Docetaxel,HEL,-2.894219
252,Doramapimod,HEL,2.989417
253,EHT-1864,HEL,2.898275
254,EPZ004777,HEL,3.648165
255,EPZ5676,HEL,4.556531
256,Elephantin,HEL,2.249668
257,Elesclomol,HEL,-3.873658
258,Entinostat,HEL,0.481834
259,Entospletinib,HEL,2.510442
260,Epirubicin,HEL,-1.974206
261,Erlotinib,HEL,2.832938
262,Fludarabine,HEL,1.096348
263,Foretinib,HEL,2.901355
264,Fulvestrant,HEL,2.61263
265,GDC0810,HEL,4.373016
266,GNE-317,HEL,1.206981
267,GSK-LSD1,HEL,-1.014576
268,GSK1904529A,HEL,4.18719
269,GSK2110183B,HEL,3.164307
270,GSK2578215A,HEL,3.7717
