,drug,cell_line,IC50
0,5-azacytidine,HL60,0.917132
1,A-366,HL60,4.83616
2,ABT737,HL60,-2.817798
3,AGI-5198,HL60,3.644734
4,AGI-6780,HL60,3.037778
5,AGK2,HL60,2.904736
6,AMG-319,HL60,3.808546
7,AT13148,HL60,3.379137
8,AZ6102,HL60,2.479558
9,AZ960,HL60,0.054884
10,AZD1208,HL60,4.885844
11,AZD1332,HL60,4.895281
12,AZD2014,HL60,3.617651
13,AZD3759,HL60,2.156169
14,AZD4547,HL60,3.137978
15,AZD5153,HL60,-0.760805
16,AZD5438,HL60,1.929562
17,AZD5991,HL60,-2.292906
18,AZD7762,HL60,0.296543
19,Acetalax,HL60,5.255601
20,Afatinib,HL60,1.518567
21,Afuresertib,HL60,3.057738
22,Alisertib,HL60,-1.114913
23,Alpelisib,HL60,2.21634
24,Avagacestat,HL60,3.321006
25,Axitinib,HL60,1.346913
26,BI-2536,HL60,-3.860741
27,BIBR-1532,HL60,3.967546
28,BMS-345541,HL60,4.133874
29,BMS-536924,HL60,-0.15958
30,BMS-754807,HL60,-0.497059
31,Bleomycin,HL60,2.846334
32,Bleomycin (50 uM),HL60,3.346662
33,Bosutinib,HL60,1.746057
34,Bromosporine,HL60,0.197511
35,Buparlisib,HL60,0.361896
36,CCT007093,HL60,4.802852
37,CPI-637,HL60,3.339946
38,CZC24832,HL60,4.656184
39,Camptothecin,HL60,-4.472606
40,Carmustine,HL60,5.767251
41,Cediranib,HL60,1.939612
42,Cisplatin,HL60,1.387772
43,Crizotinib,HL60,2.02268
44,Cyclophosphamide,HL60,2.452611
45,Cytarabine,HL60,0.250847
46,Dabrafenib,HL60,4.896857
47,Dacarbazine,HL60,5.007591
48,Dactinomycin,HL60,-3.828022
49,Dactolisib,HL60,-1.099591
50,Dasatinib,HL60,2.184483
51,Dihydrorotenone,HL60,-3.980924
52,Dinaciclib,HL60,-3.863254
53,Docetaxel,HL60,-5.308438
54,Doramapimod,HL60,4.815009
55,EPZ004777,HL60,4.743614
56,EPZ5676,HL60,4.468414
57,Elephantin,HL60,2.441787
58,Entinostat,HL60,0.657198
59,Entospletinib,HL60,4.430713
60,Epirubicin,HL60,-2.725109
61,Erlotinib,HL60,3.516011
62,Fludarabine,HL60,1.615393
63,Foretinib,HL60,0.507843
64,GDC0810,HL60,1.950125
65,GNE-317,HL60,-0.282199
66,GSK-LSD1,HL60,0.670554
67,GSK1904529A,HL60,4.988584
68,GSK2110183B,HL60,3.692014
69,GSK2578215A,HL60,2.065239
70,GSK2606414,HL60,2.656222
71,GSK2830371,HL60,3.332171
72,GSK343,HL60,2.845398
73,GSK591,HL60,4.336599
74,GW441756,HL60,2.912734
75,Gallibiscoquinazole,HL60,1.713327
76,Gefitinib,HL60,3.269647
77,Gemcitabine,HL60,-3.005111
78,I-BET-762,HL60,0.75756
79,I-BRD9,HL60,2.824221
80,IWP-2,HL60,1.86372
81,Ibrutinib,HL60,3.251737
82,Ipatasertib,HL60,2.421669
83,Irinotecan,HL60,0.505657
84,JNK Inhibitor VIII,HL60,4.787407
85,JQ1,HL60,-1.774252
86,KRAS (G12C) Inhibitor-12,HL60,5.559532
87,L-Oxonoreleagnine,HL60,3.071544
88,LCL161,HL60,3.909526
89,LGK974,HL60,2.274807
90,LJI308,HL60,4.338849
91,LMP744,HL60,-1.699738
92,LY2109761,HL60,4.893069
93,Lapatinib,HL60,3.124205
94,Leflunomide,HL60,4.850157
95,Lenalidomide,HL60,3.177559
96,Lestaurtinib,HL60,-1.224208
97,Linsitinib,HL60,2.296419
98,Luminespib,HL60,-3.321522
99,MIRA-1,HL60,4.251009
100,MK-1775,HL60,0.537033
101,MK-2206,HL60,3.567611
102,MK-8776,HL60,3.474365
103,ML323,HL60,3.795059
104,MN-64,HL60,2.037886
105,Methotrexate,HL60,-3.429267
106,Mirin,HL60,4.734348
107,Mitoxantrone,HL60,-1.648092
108,Motesanib,HL60,3.398147
109,Mycophenolic acid,HL60,0.872644
110,N-acetyl cysteine,HL60,9.943743
111,NU7441,HL60,0.40654
112,NVP-ADW742,HL60,0.25705
113,Navitoclax,HL60,-1.246696
114,Nelarabine,HL60,5.274322
115,Nilotinib,HL60,2.067855
116,Niraparib,HL60,4.647715
117,Nutlin-3a (-),HL60,3.685447
118,OF-1,HL60,0.928478
119,OSI-027,HL60,3.820561
120,OTX015,HL60,-0.554517
121,Obatoclax Mesylate,HL60,0.645424
122,Olaparib,HL60,3.475814
123,Osimertinib,HL60,1.05863
124,Oxaliplatin,HL60,2.398582
125,P22077,HL60,1.495135
126,PCI-34051,HL60,4.391048
127,PD0325901,HL60,-3.501066
128,PD173074,HL60,4.208856
129,PFI3,HL60,4.259533
130,PLX-4720,HL60,3.794436
131,POMHEX,HL60,1.407742
132,PRIMA-1MET,HL60,5.892109
133,PRT062607,HL60,2.149309
134,Paclitaxel,HL60,-4.906881
135,Palbociclib,HL60,2.306101
136,Pevonedistat,HL60,-1.459439
137,Picolinici-acid,HL60,4.740492
138,Pictilisib,HL60,1.262272
139,Podophyllotoxin bromide,HL60,-1.674663
140,Pyridostatin,HL60,4.298902
141,RO-3306,HL60,4.847768
142,RVX-208,HL60,3.35364
143,Rapamycin,HL60,-1.398099
144,Refametinib,HL60,-1.167613
145,Remodelin,HL60,3.243689
146,Ribociclib,HL60,3.433514
147,Romidepsin,HL60,-6.094023
148,Rucaparib,HL60,3.78804
149,Ruxolitinib,HL60,3.372182
150,SB216763,HL60,3.882611
151,SB590885,HL60,3.906465
152,SCH772984,HL60,0.146872
153,SGC-CBP30,HL60,3.667655
154,SGC0946,HL60,1.874233
155,SN-38,HL60,-5.868396
156,Sabutoclax,HL60,0.814406
157,Sapitinib,HL60,3.307865
158,Savolitinib,HL60,1.442681
159,Schweinfurthin A,HL60,-1.71815
160,Selumetinib,HL60,0.441364
161,Sepantronium bromide,HL60,-5.547198
162,Serdemetan,HL60,3.580526
163,Staurosporine,HL60,-2.354547
164,Talazoparib,HL60,0.970772
165,Tamoxifen,HL60,2.773471
166,Tanespimycin,HL60,-0.02127
167,Taselisib,HL60,1.075933
168,Temozolomide,HL60,5.287843
169,Temsirolimus,HL60,0.734264
170,Teniposide,HL60,-1.596655
171,Topotecan,HL60,-1.336943
172,Trametinib,HL60,-3.320319
173,UMI-77,HL60,1.435243
174,UNC0379,HL60,4.588174
175,UNC0638,HL60,2.025077
176,Ulixertinib,HL60,1.306203
177,Uprosertib,HL60,3.358422
178,VE-822,HL60,3.054477
179,VE821,HL60,4.8754
180,VX-11e,HL60,2.050311
181,Veliparib,HL60,4.110177
182,Venetoclax,HL60,-4.488296
183,Vinblastine,HL60,-6.310347
184,Vincristine,HL60,-4.649077
185,Vismodegib,HL60,3.578583
186,Vorinostat,HL60,0.205701
187,WEHI-539,HL60,3.762251
188,WIKI4,HL60,2.307919
189,WZ4003,HL60,3.666695
190,Wee1 Inhibitor,HL60,0.84796
191,Wnt-C59,HL60,3.23988
192,XAV939,HL60,4.349326
193,YK-4-279,HL60,0.316688
194,ZM447439,HL60,-0.106262
195,Zoledronate,HL60,3.148767
196,alpha-lipoic acid,HL60,5.007582
197,glutathione,HL60,8.188005
