,drug,cell_line,IC50
0,5-Fluorouracil,HL60,2.558926
1,5-azacytidine,HL60,0.917132
2,A-366,HL60,4.83616
3,ABT737,HL60,-2.817798
4,AGI-5198,HL60,3.644734
5,AGI-6780,HL60,3.037778
6,AGK2,HL60,2.904736
7,AMG-319,HL60,3.808546
8,AZ6102,HL60,2.479558
9,AZD1332,HL60,4.895281
10,AZD2014,HL60,3.617651
11,AZD3759,HL60,2.156169
12,AZD4547,HL60,3.137978
13,AZD5153,HL60,-0.760805
14,AZD5363,HL60,1.933375
15,AZD5438,HL60,1.929562
16,AZD5582,HL60,1.523764
17,AZD5991,HL60,-2.292906
18,AZD6738,HL60,2.042793
19,AZD7762,HL60,0.296543
20,AZD8055,HL60,1.456973
21,AZD8186,HL60,1.816854
22,Acetalax,HL60,5.255601
23,Afatinib,HL60,1.518567
24,Afuresertib,HL60,3.057738
25,Alisertib,HL60,-1.114913
26,Avagacestat,HL60,3.321006
27,Axitinib,HL60,1.346913
28,BI-2536,HL60,-3.860741
29,BIBR-1532,HL60,3.967546
30,BMS-345541,HL60,4.133874
31,BMS-536924,HL60,-0.15958
32,BMS-754807,HL60,-0.497059
33,Bleomycin,HL60,2.846334
34,Bleomycin (50 uM),HL60,3.346662
35,Bortezomib,HL60,-5.511162
36,Bosutinib,HL60,1.746057
37,Bromosporine,HL60,0.197511
38,Buparlisib,HL60,0.361896
39,CCT007093,HL60,4.802852
40,CPI-637,HL60,3.339946
41,CZC24832,HL60,4.656184
42,Camptothecin,HL60,-4.472606
43,Carmustine,HL60,5.767251
44,Cediranib,HL60,1.939612
45,Cisplatin,HL60,1.387772
46,Crizotinib,HL60,2.02268
47,Cyclophosphamide,HL60,2.452611
48,Cytarabine,HL60,0.250847
49,Dabrafenib,HL60,4.896857
50,Dactinomycin,HL60,-3.828022
51,Dactolisib,HL60,-1.099591
52,Dihydrorotenone,HL60,-3.980924
53,Dinaciclib,HL60,-3.863254
54,Docetaxel,HL60,-5.308438
55,Doramapimod,HL60,4.815009
56,EHT-1864,HL60,2.148829
57,EPZ004777,HL60,4.743614
58,EPZ5676,HL60,4.468414
59,Elephantin,HL60,2.441787
60,Entinostat,HL60,0.657198
61,Epirubicin,HL60,-2.725109
62,Erlotinib,HL60,3.516011
63,Fludarabine,HL60,1.615393
64,Foretinib,HL60,0.507843
65,Fulvestrant,HL60,3.329908
66,GDC0810,HL60,1.950125
67,GNE-317,HL60,-0.282199
68,GSK-LSD1,HL60,0.670554
69,GSK1904529A,HL60,4.988584
70,GSK2110183B,HL60,3.692014
71,GSK2578215A,HL60,2.065239
72,GSK2606414,HL60,2.656222
73,GSK2801,HL60,4.181437
74,GSK2830371,HL60,3.332171
75,GSK343,HL60,2.845398
76,GSK591,HL60,4.336599
77,GW441756,HL60,2.912734
78,Gallibiscoquinazole,HL60,1.713327
79,Gemcitabine,HL60,-3.005111
80,I-BET-762,HL60,0.75756
81,I-BRD9,HL60,2.824221
82,ICL-SIRT078,HL60,3.229446
83,Ibrutinib,HL60,3.251737
84,Ipatasertib,HL60,2.421669
85,Irinotecan,HL60,0.505657
86,JNK Inhibitor VIII,HL60,4.787407
87,JQ1,HL60,-1.774252
88,KRAS (G12C) Inhibitor-12,HL60,5.559532
89,KU-55933,HL60,4.233836
90,L-Oxonoreleagnine,HL60,3.071544
91,LCL161,HL60,3.909526
92,LGK974,HL60,2.274807
93,LJI308,HL60,4.338849
94,LMP744,HL60,-1.699738
95,LY2109761,HL60,4.893069
96,Lapatinib,HL60,3.124205
97,Lenalidomide,HL60,3.177559
98,Lestaurtinib,HL60,-1.224208
99,Linsitinib,HL60,2.296419
100,Luminespib,HL60,-3.321522
101,MG-132,HL60,-1.14181
102,MIM1,HL60,4.384764
103,MIRA-1,HL60,4.251009
104,MK-1775,HL60,0.537033
105,MK-2206,HL60,3.567611
106,MK-8776,HL60,3.474365
107,ML323,HL60,3.795059
108,MN-64,HL60,2.037886
109,Methotrexate,HL60,-3.429267
110,Mirin,HL60,4.734348
111,Mitoxantrone,HL60,-1.648092
112,Motesanib,HL60,3.398147
113,N-acetyl cysteine,HL60,9.943743
114,NU7441,HL60,0.40654
115,NVP-ADW742,HL60,0.25705
116,Navitoclax,HL60,-1.246696
117,Nelarabine,HL60,5.274322
118,Nilotinib,HL60,2.067855
119,Niraparib,HL60,4.647715
